Year,Value
1990,172356380.1
1991,173773791.6
1992,173636031.6
1993,174642986.8
1994,174973584.7
1995,180623444.7
1996,183984797.8
1997,186882315
1998,188160396.3
1999,188764615.7
2000,195005040.6
2001,198959179.1
2002,202756540.2
2003,214159938.9
2004,225698620.3
2005,236194284.3
2006,246180156.6
2007,256952447.3
2008,260430641.4
2009,259948412.1
2010,276954525.8
2011,288657451.3
2012,293713739.1
2013,300293972.8
2014,302008346.5
2015,299785933.3
2016,300703978.8
2017,306370307.4
2018,315411633.1
2019,316329446.6
2020,304192322.9
