Index,Country,Code,Indicator,Year,Value
row_1,Afganistan,AFG,Emisiones de CO2 (kt),1990,2046.87
row_2,Angola,AGO,Emisiones de CO2 (kt),1990,6564.2
row_3,Albania,ALB,Emisiones de CO2 (kt),1990,6060.5
row_4,Andorra,AND,Emisiones de CO2 (kt),1990,406.704
row_5,El mundo arabe,ARB,Emisiones de CO2 (kt),1990,632472.87
row_6,Emiratos Arabes Unidos,ARE,Emisiones de CO2 (kt),1990,55210.4
row_7,Argentina,ARG,Emisiones de CO2 (kt),1990,100313.9
row_8,Armenia,ARM,Emisiones de CO2 (kt),1990,19845.2
row_9,Antigua y Barbuda,ATG,Emisiones de CO2 (kt),1990,218.2
row_10,Australia,AUS,Emisiones de CO2 (kt),1990,263437.5
row_11,Austria,AUT,Emisiones de CO2 (kt),1990,58275.7
row_12,Azerbaiyan,AZE,Emisiones de CO2 (kt),1990,53483.7
row_13,Burundi,BDI,Emisiones de CO2 (kt),1990,187.6
row_14,Belgica,BEL,Emisiones de CO2 (kt),1990,109312.6
row_15,Benin,BEN,Emisiones de CO2 (kt),1990,330.11
row_16,Burkina Faso,BFA,Emisiones de CO2 (kt),1990,594.1
row_17,Bangladesh,BGD,Emisiones de CO2 (kt),1990,11523.73
row_18,Bulgaria,BGR,Emisiones de CO2 (kt),1990,73605.7
row_19,Bahrein,BHR,Emisiones de CO2 (kt),1990,10737.46
row_20,Bahamas,BHS,Emisiones de CO2 (kt),1990,2014.6
row_21,Bosnia y Herzegovina,BIH,Emisiones de CO2 (kt),1990,23965.6
row_22,Bielorrusia,BLR,Emisiones de CO2 (kt),1990,99830
row_23,Belice,BLZ,Emisiones de CO2 (kt),1990,340.3
row_24,Bermudas,BMU,Emisiones de CO2 (kt),1990,0
row_25,Bolivia,BOL,Emisiones de CO2 (kt),1990,10407.9
row_26,Brasil,BRA,Emisiones de CO2 (kt),1990,197897.4
row_27,Barbados,BRB,Emisiones de CO2 (kt),1990,1004.32
row_28,Brunei Darussalam,BRN,Emisiones de CO2 (kt),1990,3260.3
row_29,Bhutan,BTN,Emisiones de CO2 (kt),1990,185.39
row_30,Botswana,BWA,Emisiones de CO2 (kt),1990,2807.4
row_31,Republica Centroafricana,CAF,Emisiones de CO2 (kt),1990,148
row_32,Canada,CAN,Emisiones de CO2 (kt),1990,419492.2
row_33,Europa Central y del Baltico,CEB,Emisiones de CO2 (kt),1990,991246.4
row_34,Suiza,CHE,Emisiones de CO2 (kt),1990,43326.5
row_35,Islas del Canal,CHI,Emisiones de CO2 (kt),1990,0
row_36,Chile,CHL,Emisiones de CO2 (kt),1990,30533.6
row_37,China,CHN,Emisiones de CO2 (kt),1990,2173364.2
row_38,Cote d'Ivoire,CIV,Emisiones de CO2 (kt),1990,2705.4
row_39,Camerun,CMR,Emisiones de CO2 (kt),1990,2900
row_40,"Congo, Republica Democratica",COD,Emisiones de CO2 (kt),1990,3179
row_41,"Congo, Republica",COG,Emisiones de CO2 (kt),1990,3201.15
row_42,Colombia,COL,Emisiones de CO2 (kt),1990,49364.4
row_43,Comoras,COM,Emisiones de CO2 (kt),1990,65.5
row_44,Cabo Verde,CPV,Emisiones de CO2 (kt),1990,183.8
row_45,Costa Rica,CRI,Emisiones de CO2 (kt),1990,2871.2
row_46,Estados pequeos del Caribe,CSS,Emisiones de CO2 (kt),1990,27695.2081
row_47,Cuba,CUB,Emisiones de CO2 (kt),1990,35621.6
row_48,Chipre,CYP,Emisiones de CO2 (kt),1990,4591.2
row_49,Republica Checa,CZE,Emisiones de CO2 (kt),1990,153149.3
row_50,Alemania,DEU,Emisiones de CO2 (kt),1990,955307.7
row_51,Djibouti,DJI,Emisiones de CO2 (kt),1990,274.1
row_52,Dominica,DMA,Emisiones de CO2 (kt),1990,62.7
row_53,Dinamarca,DNK,Emisiones de CO2 (kt),1990,51978
row_54,Republica Dominicana,DOM,Emisiones de CO2 (kt),1990,7860.7
row_55,Argelia,DZA,Emisiones de CO2 (kt),1990,62936.9
row_56,Asia oriental y el Pacifico (excluido altos ingresos),EAP,Emisiones de CO2 (kt),1990,2665961.556
row_57,inicial del dividendo demografico,EAR,Emisiones de CO2 (kt),1990,2612523.044
row_58,Asia oriental y el Pacifico,EAS,Emisiones de CO2 (kt),1990,4322250.256
row_59,Europa y Asia central (excluido altos ingresos),ECA,Emisiones de CO2 (kt),1990,3838019.54
row_60,Europa y Asia central,ECS,Emisiones de CO2 (kt),1990,7966959.675
row_61,Ecuador,ECU,Emisiones de CO2 (kt),1990,15422.6
row_62,Egipto,EGY,Emisiones de CO2 (kt),1990,87745.4
row_63,Eritrea,ERI,Emisiones de CO2 (kt),1990,0
row_64,Espana,ESP,Emisiones de CO2 (kt),1990,214950.6
row_65,Estonia,EST,Emisiones de CO2 (kt),1990,34544.9
row_66,Etiopia,ETH,Emisiones de CO2 (kt),1990,2310.7
row_67,Union Europea,EUU,Emisiones de CO2 (kt),1990,3567900.9
row_68,Finlandia,FIN,Emisiones de CO2 (kt),1990,54562.8
row_69,Fiji,FJI,Emisiones de CO2 (kt),1990,712.98
row_70,Francia,FRA,Emisiones de CO2 (kt),1990,356297.9
row_71,Micronesia,FSM,Emisiones de CO2 (kt),1990,0
row_72,Gabon,GAB,Emisiones de CO2 (kt),1990,4099.12
row_73,Reino Unido,GBR,Emisiones de CO2 (kt),1990,561774.5
row_74,Georgia,GEO,Emisiones de CO2 (kt),1990,33488.3
row_75,Ghana,GHA,Emisiones de CO2 (kt),1990,2516.9
row_76,Gibraltar,GIB,Emisiones de CO2 (kt),1990,0
row_77,Guinea,GIN,Emisiones de CO2 (kt),1990,999.1
row_78,Gambia,GMB,Emisiones de CO2 (kt),1990,194.5
row_79,Guinea-Bissau,GNB,Emisiones de CO2 (kt),1990,171.9
row_80,Guinea Ecuatorial,GNQ,Emisiones de CO2 (kt),1990,69.6
row_81,Grecia,GRC,Emisiones de CO2 (kt),1990,75619.4
row_82,Granada,GRD,Emisiones de CO2 (kt),1990,114.9
row_83,Guatemala,GTM,Emisiones de CO2 (kt),1990,3932
row_84,Guyana,GUY,Emisiones de CO2 (kt),1990,1171.9
row_85,Ingreso alto,HIC,Emisiones de CO2 (kt),1990,11431204.71
row_86,Honduras,HND,Emisiones de CO2 (kt),1990,2453.7
row_87,Paises pobres muy endeudados (PPME),HPC,Emisiones de CO2 (kt),1990,59679.75
row_88,Croacia,HRV,Emisiones de CO2 (kt),1990,20341.4
row_89,Haiti,HTI,Emisiones de CO2 (kt),1990,1020.42
row_90,Hungria,HUN,Emisiones de CO2 (kt),1990,67421
row_91,Solo BIRF,IBD,Emisiones de CO2 (kt),1990,8932851.548
row_92,BIRF y la AIF,IBT,Emisiones de CO2 (kt),1990,9355846.66
row_93,mezcla de la AIF,IDB,Emisiones de CO2 (kt),1990,281986.53
row_94,Indonesia,IDN,Emisiones de CO2 (kt),1990,148342.9
row_95,India,IND,Emisiones de CO2 (kt),1990,563575.4
row_96,Irlanda,IRL,Emisiones de CO2 (kt),1990,30961.5
row_97,Iran,IRN,Emisiones de CO2 (kt),1990,198471.7
row_98,Iraq,IRQ,Emisiones de CO2 (kt),1990,64206.4
row_99,Islandia,ISL,Emisiones de CO2 (kt),1990,1947.46
