Year,Suma de Value,Suma de Pop,percapita_mundial
1990,145552789.4,55115377019,0.002640874
1991,151055960.1,56084554158,0.002693361
1992,173636031.6,57038942017,0.003044166
1993,174642986.8,57987418618,0.003011739
1994,174973584.7,58928001922,0.002969277
1995,180623444.7,59860892323,0.003017386
1996,183984797.8,60793267160,0.003026401
1997,186882315,61722331777,0.003027791
1998,188160396.3,62644646984,0.003003615
1999,188764615.7,63557591395,0.002969977
2000,195005040.6,64464798572,0.003024985
2001,198959179.1,65373325705,0.003043431
2002,202756540.2,66283882363,0.003058912
2003,214159938.9,67193061945,0.003187233
2004,225698620.3,68103197347,0.003314068
2005,236194284.3,69017150196,0.003422255
2006,246180156.6,69934547555,0.003520151
2007,256952447.3,70853205375,0.003626547
2008,260430641.4,71783816194,0.003627985
2009,259948412.1,72725185730,0.003574393
2010,276954525.8,73674598593,0.003759159
2011,288657451.3,74632393411,0.003867723
2012,293713739.1,75626112499,0.003883761
2013,300293972.8,76630940060,0.003918704
2014,302008346.5,77637704377,0.00388997
2015,299785933.3,78635716830,0.003812338
2016,300703978.8,79630875077,0.003776223
2017,306370307.4,80624022589,0.003799988
2018,315411633.1,81594583942,0.003865595
2019,316329446.6,82541539772,0.003832367
2020,304192322.9,83461168909,0.003644717
Total general,7348983841,2.14E+12,0.003427458
