,Country,Code,Indicator,Year,Co2_per
0,Aruba,ABW,Emisiones de CO2 (toneladas métricas per capita),1990,
1,,AFE,Emisiones de CO2 (toneladas métricas per capita),1990,0.982974822
2,Afganistan,AFG,Emisiones de CO2 (toneladas métricas per capita),1990,0.191389345
3,,AFW,Emisiones de CO2 (toneladas métricas per capita),1990,0.470111269
4,Angola,AGO,Emisiones de CO2 (toneladas métricas per capita),1990,0.554941321
5,Albania,ALB,Emisiones de CO2 (toneladas métricas per capita),1990,1.844035463
6,Andorra,AND,Emisiones de CO2 (toneladas métricas per capita),1990,7.592152178
7,El mundo arabe,ARB,Emisiones de CO2 (toneladas métricas per capita),1990,2.799502284
8,Emiratos Arabes Unidos,ARE,Emisiones de CO2 (toneladas métricas per capita),1990,29.05579609
9,Argentina,ARG,Emisiones de CO2 (toneladas métricas per capita),1990,3.073563154
10,Armenia,ARM,Emisiones de CO2 (toneladas métricas per capita),1990,5.579919129
11,Samoa Americana,ASM,Emisiones de CO2 (toneladas métricas per capita),1990,
12,Antigua y Barbuda,ATG,Emisiones de CO2 (toneladas métricas per capita),1990,3.44555331
13,Australia,AUS,Emisiones de CO2 (toneladas métricas per capita),1990,15.43718277
14,Austria,AUT,Emisiones de CO2 (toneladas métricas per capita),1990,7.590106605
15,Azerbaiyan,AZE,Emisiones de CO2 (toneladas métricas per capita),1990,7.45396644
16,Burundi,BDI,Emisiones de CO2 (toneladas métricas per capita),1990,0.034209898
17,Belgica,BEL,Emisiones de CO2 (toneladas métricas per capita),1990,10.96703557
18,Benin,BEN,Emisiones de CO2 (toneladas métricas per capita),1990,0.06430607
19,Burkina Faso,BFA,Emisiones de CO2 (toneladas métricas per capita),1990,0.065061495
20,Bangladesh,BGD,Emisiones de CO2 (toneladas métricas per capita),1990,0.107550001
21,Bulgaria,BGR,Emisiones de CO2 (toneladas métricas per capita),1990,8.442677227
22,Bahrein,BHR,Emisiones de CO2 (toneladas métricas per capita),1990,20.75200322
23,Bahamas,BHS,Emisiones de CO2 (toneladas métricas per capita),1990,7.442764308
24,Bosnia y Herzegovina,BIH,Emisiones de CO2 (toneladas métricas per capita),1990,5.332431452
25,Bielorrusia,BLR,Emisiones de CO2 (toneladas métricas per capita),1990,9.797486552
26,Belice,BLZ,Emisiones de CO2 (toneladas métricas per capita),1990,1.863748638
27,Bermudas,BMU,Emisiones de CO2 (toneladas métricas per capita),1990,
28,Bolivia,BOL,Emisiones de CO2 (toneladas métricas per capita),1990,1.466687636
29,Brasil,BRA,Emisiones de CO2 (toneladas métricas per capita),1990,1.313131623
30,Barbados,BRB,Emisiones de CO2 (toneladas métricas per capita),1990,3.879660676
31,Brunei Darussalam,BRN,Emisiones de CO2 (toneladas métricas per capita),1990,12.44731377
32,Bhutan,BTN,Emisiones de CO2 (toneladas métricas per capita),1990,0.331977179
33,Botswana,BWA,Emisiones de CO2 (toneladas métricas per capita),1990,2.092772577
34,Republica Centroafricana,CAF,Emisiones de CO2 (toneladas métricas per capita),1990,0.052683644
35,Canada,CAN,Emisiones de CO2 (toneladas métricas per capita),1990,15.14896932
36,Europa Central y del Báltico,CEB,Emisiones de CO2 (toneladas métricas per capita),1990,8.950861493
37,Suiza,CHE,Emisiones de CO2 (toneladas métricas per capita),1990,6.451697925
38,Islas del Canal,CHI,Emisiones de CO2 (toneladas métricas per capita),1990,
39,Chile,CHL,Emisiones de CO2 (toneladas métricas per capita),1990,2.288383577
40,China,CHN,Emisiones de CO2 (toneladas métricas per capita),1990,1.914546263
41,Cote d'Ivoire,CIV,Emisiones de CO2 (toneladas métricas per capita),1990,0.227143354
42,Camerun,CMR,Emisiones de CO2 (toneladas métricas per capita),1990,0.253706743
43,"Congo, Republica Democrática del",COD,Emisiones de CO2 (toneladas métricas per capita),1990,0.088336127
44,"Congo, Republica del",COG,Emisiones de CO2 (toneladas métricas per capita),1990,1.341956499
45,Colombia,COL,Emisiones de CO2 (toneladas métricas per capita),1990,1.514180698
46,Comoras,COM,Emisiones de CO2 (toneladas métricas per capita),1990,0.15193021
47,Cabo Verde,CPV,Emisiones de CO2 (toneladas métricas per capita),1990,0.504165261
48,Costa Rica,CRI,Emisiones de CO2 (toneladas métricas per capita),1990,0.909110195
49,Estados pequeos del Caribe,CSS,Emisiones de CO2 (toneladas métricas per capita),1990,4.571798922
50,Cuba,CUB,Emisiones de CO2 (toneladas métricas per capita),1990,3.352091152
51,Curacao,CUW,Emisiones de CO2 (toneladas métricas per capita),1990,
52,Islas Caiman,CYM,Emisiones de CO2 (toneladas métricas per capita),1990,
53,Chipre,CYP,Emisiones de CO2 (toneladas métricas per capita),1990,5.822701332
54,Republica Checa,CZE,Emisiones de CO2 (toneladas métricas per capita),1990,14.82086892
55,Alemania,DEU,Emisiones de CO2 (toneladas métricas per capita),1990,12.02658028
56,Djibouti,DJI,Emisiones de CO2 (toneladas métricas per capita),1990,0.47490094
57,Dominica,DMA,Emisiones de CO2 (toneladas métricas per capita),1990,0.902404974
58,Dinamarca,DNK,Emisiones de CO2 (toneladas métricas per capita),1990,10.11060431
59,Republica Dominicana,DOM,Emisiones de CO2 (toneladas métricas per capita),1990,1.102636497
60,Argelia,DZA,Emisiones de CO2 (toneladas métricas per capita),1990,2.466365604
61,Asia oriental y el Pacífico (excluido altos ingresos),EAP,Emisiones de CO2 (toneladas métricas per capita),1990,1.664938422
62,inicial del dividendo demográafico,EAR,Emisiones de CO2 (toneladas métricas per capita),1990,1.279993776
63,Asia oriental y el Pacífico,EAS,Emisiones de CO2 (toneladas métricas per capita),1990,2.377151667
64,Europa y Asia central (excluido altos ingresos),ECA,Emisiones de CO2 (toneladas métricas per capita),1990,10.606394
65,Europa y Asia central,ECS,Emisiones de CO2 (toneladas métricas per capita),1990,9.461604526
66,Ecuador,ECU,Emisiones de CO2 (toneladas métricas per capita),1990,1.475869911
67,"Egipto, Republica Arabe de",EGY,Emisiones de CO2 (toneladas métricas per capita),1990,1.533618237
68,Zona del Euro,EMU,Emisiones de CO2 (toneladas métricas per capita),1990,8.438656848
69,Eritrea,ERI,Emisiones de CO2 (toneladas métricas per capita),1990,0.0
70,Espana,ESP,Emisiones de CO2 (toneladas métricas per capita),1990,5.530368159
71,Estonia,EST,Emisiones de CO2 (toneladas métricas per capita),1990,22.01470328
72,Etiopia,ETH,Emisiones de CO2 (toneladas métricas per capita),1990,0.048262176
73,Union Europea,EUU,Emisiones de CO2 (toneladas métricas per capita),1990,8.488759509
74,Fragiles y situaciones de conflicto afectados,FCS,Emisiones de CO2 (toneladas métricas per capita),1990,2.171046698
75,Finlandia,FIN,Emisiones de CO2 (toneladas métricas per capita),1990,10.94225509
76,Fiji,FJI,Emisiones de CO2 (toneladas métricas per capita),1990,0.913573287
77,Francia,FRA,Emisiones de CO2 (toneladas métricas per capita),1990,6.138336383
78,Islas Feroe,FRO,Emisiones de CO2 (toneladas métricas per capita),1990,
79,Micronesia (Estados Federados de),FSM,Emisiones de CO2 (toneladas métricas per capita),1990,0.0
80,Gabon,GAB,Emisiones de CO2 (toneladas métricas per capita),1990,4.169891397
81,Reino Unido,GBR,Emisiones de CO2 (toneladas métricas per capita),1990,9.813068799
82,Georgia,GEO,Emisiones de CO2 (toneladas métricas per capita),1990,6.973823407
83,Ghana,GHA,Emisiones de CO2 (toneladas métricas per capita),1990,0.162937977
84,Gibraltar,GIB,Emisiones de CO2 (toneladas métricas per capita),1990,
85,Guinea,GIN,Emisiones de CO2 (toneladas métricas per capita),1990,0.157235946
86,Gambia,GMB,Emisiones de CO2 (toneladas métricas per capita),1990,0.186908523
87,Guinea-Bissau,GNB,Emisiones de CO2 (toneladas métricas per capita),1990,0.176570103
88,Guinea Ecuatorial,GNQ,Emisiones de CO2 (toneladas métricas per capita),1990,0.149500912
89,Grecia,GRC,Emisiones de CO2 (toneladas métricas per capita),1990,7.415999071
90,Granada,GRD,Emisiones de CO2 (toneladas métricas per capita),1990,1.160055327
91,Groenlandia,GRL,Emisiones de CO2 (toneladas métricas per capita),1990,
92,Guatemala,GTM,Emisiones de CO2 (toneladas métricas per capita),1990,0.434469617
93,Guam,GUM,Emisiones de CO2 (toneladas métricas per capita),1990,
94,Guyana,GUY,Emisiones de CO2 (toneladas métricas per capita),1990,1.568564989
95,Ingreso alto,HIC,Emisiones de CO2 (toneladas métricas per capita),1990,11.1252523
96,"Hong Kong, Región Administrativa Especial",HKG,Emisiones de CO2 (toneladas métricas per capita),1990,
97,Honduras,HND,Emisiones de CO2 (toneladas métricas per capita),1990,0.485570231
98,Países pobres muy endeudados (PPME),HPC,Emisiones de CO2 (toneladas métricas per capita),1990,0.166646506
99,Croacia,HRV,Emisiones de CO2 (toneladas métricas per capita),1990,4.257867512
100,Haití,HTI,Emisiones de CO2 (toneladas métricas per capita),1990,0.147346026
101,Hungria,HUN,Emisiones de CO2 (toneladas métricas per capita),1990,6.499043569
102,Solo BIRF,IBD,Emisiones de CO2 (toneladas métricas per capita),1990,2.585915039
