Indicator,Code,Year,Pop
Poblacion Total,WLD,1990,5293395467
Poblacion Total,WLD,1991,5382536929
Poblacion Total,WLD,1992,5470164577
Poblacion Total,WLD,1993,5556623321
Poblacion Total,WLD,1994,5642046034
Poblacion Total,WLD,1995,5726736488
Poblacion Total,WLD,1996,5811580202
Poblacion Total,WLD,1997,5896055962
Poblacion Total,WLD,1998,5979726559
Poblacion Total,WLD,1999,6062288850
Poblacion Total,WLD,2000,6144321462
Poblacion Total,WLD,2001,6226348086
Poblacion Total,WLD,2002,6308140970
Poblacion Total,WLD,2003,6389462496
Poblacion Total,WLD,2004,6470924346
Poblacion Total,WLD,2005,6552700448
Poblacion Total,WLD,2006,6635110367
Poblacion Total,WLD,2007,6717878341
Poblacion Total,WLD,2008,6801710019
Poblacion Total,WLD,2009,6885849785
Poblacion Total,WLD,2010,6970038720
Poblacion Total,WLD,2011,7053994597
Poblacion Total,WLD,2012,7141487869
Poblacion Total,WLD,2013,7229731581
Poblacion Total,WLD,2014,7317970484
Poblacion Total,WLD,2015,7405277863
Poblacion Total,WLD,2016,7492156881
Poblacion Total,WLD,2017,7578220703
Poblacion Total,WLD,2018,7661776612
Poblacion Total,WLD,2019,7742682218
Poblacion Total,WLD,2020,7820963775
