Year,Value
1990,55115377019
1991,56084554158
1992,57038942017
1993,57987418618
1994,58928001922
1995,59860892323
1996,60793267160
1997,61722331777
1998,62644646984
1999,63557591395
2000,64464798572
2001,65373325705
2002,66283882363
2003,67193061945
2004,68103197347
2005,69017150196
2006,69934547555
2007,70853205375
2008,71783816194
2009,72725185730
2010,73674598593
2011,74632393411
2012,75626112499
2013,76630940060
2014,77637704377
2015,78635716830
2016,79630875077
2017,80624022589
2018,81594583942
2019,82541539772
2020,83461168909
Total general,2.14415E+12
