Indicator,Code,Year,Pop
Poblacion Total,ABW,1990,65712
Poblacion Total,AFG,1990,10694796
Poblacion Total,AGO,1990,11828638
Poblacion Total,ALB,1990,3286542
Poblacion Total,AND,1990,53569
Poblacion Total,ARB,1990,225923327
Poblacion Total,ARE,1990,1900151
Poblacion Total,ARG,1990,32637657
Poblacion Total,ARM,1990,3556539
Poblacion Total,ASM,1990,47818
Poblacion Total,ATG,1990,63328
Poblacion Total,AUS,1990,17065128
Poblacion Total,AUT,1990,7677850
Poblacion Total,AZE,1990,7175200
Poblacion Total,BDI,1990,5483793
Poblacion Total,BEL,1990,9967379
Poblacion Total,BEN,1990,5133419
Poblacion Total,BFA,1990,9131361
Poblacion Total,BGD,1990,107147651
Poblacion Total,BGR,1990,8718289
Poblacion Total,BHR,1990,517418
Poblacion Total,BHS,1990,270679
Poblacion Total,BIH,1990,4494310
Poblacion Total,BLR,1990,10189348
Poblacion Total,BLZ,1990,182589
Poblacion Total,BMU,1990,59326
Poblacion Total,BOL,1990,7096194
Poblacion Total,BRA,1990,150706446
Poblacion Total,BRB,1990,258868
Poblacion Total,BRN,1990,261928
Poblacion Total,BTN,1990,558442
Poblacion Total,BWA,1990,1341474
Poblacion Total,CAF,1990,2809221
Poblacion Total,CAN,1990,27691138
Poblacion Total,CEB,1990,110743128
Poblacion Total,CHE,1990,6715519
Poblacion Total,CHI,1990,140601
Poblacion Total,CHL,1990,13342868
Poblacion Total,CHN,1990,1135185000
Poblacion Total,CIV,1990,11910540
Poblacion Total,CMR,1990,11430520
Poblacion Total,COD,1990,35987541
Poblacion Total,COG,1990,2385435
Poblacion Total,COL,1990,32601393
Poblacion Total,COM,1990,431119
Poblacion Total,CPV,1990,364563
Poblacion Total,CRI,1990,3158253
Poblacion Total,CSS,1990,6057836
Poblacion Total,CUB,1990,10626680
Poblacion Total,CUW,1990,145400
Poblacion Total,CYM,1990,26027
Poblacion Total,CYP,1990,788500
Poblacion Total,CZE,1990,10333355
Poblacion Total,DEU,1990,79433029
Poblacion Total,DJI,1990,577173
Poblacion Total,DMA,1990,69481
Poblacion Total,DNK,1990,5140939
Poblacion Total,DOM,1990,7129004
Poblacion Total,DZA,1990,25518074
Poblacion Total,EAP,1990,1601237332
Poblacion Total,EAR,1990,2041043553
Poblacion Total,EAS,1990,1818247576
Poblacion Total,ECA,1990,361859039
Poblacion Total,ECS,1990,842030509
Poblacion Total,ECU,1990,10449837
Poblacion Total,EGY,1990,57214630
Poblacion Total,EMU,1990,311093477
Poblacion Total,ERI,1990,2149960
Poblacion Total,ESP,1990,38867322
Poblacion Total,EST,1990,1569174
Poblacion Total,ETH,1990,47878073
Poblacion Total,EUU,1990,420308868
Poblacion Total,FCS,1990,482851894
Poblacion Total,FIN,1990,4986431
Poblacion Total,FJI,1990,780430
Poblacion Total,FRA,1990,58044701
Poblacion Total,FRO,1990,47479
Poblacion Total,FSM,1990,98603
Poblacion Total,GAB,1990,983028
Poblacion Total,GBR,1990,57247586
Poblacion Total,GEO,1990,4802000
Poblacion Total,GHA,1990,15446982
Poblacion Total,GIB,1990,27317
Poblacion Total,GIN,1990,6354145
Poblacion Total,GMB,1990,1040616
Poblacion Total,GNB,1990,973551
Poblacion Total,GNQ,1990,465549
Poblacion Total,GRC,1990,10196792
Poblacion Total,GRD,1990,99047
Poblacion Total,GRL,1990,55600
Poblacion Total,GTM,1990,9050115
Poblacion Total,GUM,1990,138263
Poblacion Total,GUY,1990,747116
Poblacion Total,HIC,1990,1027500717
Poblacion Total,HKG,1990,5704500
Poblacion Total,HND,1990,5053234
Poblacion Total,HPC,1990,358121820
Poblacion Total,HRV,1990,4777368
Poblacion Total,HTI,1990,6925331
Poblacion Total,HUN,1990,10373988
Poblacion Total,IBD,1990,3454425770
Poblacion Total,IBT,1990,4319686835
Poblacion Total,IDA,1990,865261065
Poblacion Total,IDB,1990,284421830
Poblacion Total,IDN,1990,182159874
Poblacion Total,IDX,1990,580839235
Poblacion Total,IMN,1990,68865
Poblacion Total,IND,1990,870452165
Poblacion Total,INX,1990,
Poblacion Total,IRL,1990,3513974
Poblacion Total,IRN,1990,55793629
Poblacion Total,IRQ,1990,17658381
Poblacion Total,ISL,1990,254826
Poblacion Total,ISR,1990,4660000
Poblacion Total,ITA,1990,56719240
Poblacion Total,JAM,1990,2392030
Poblacion Total,JOR,1990,3480587
Poblacion Total,JPN,1990,123478000
Poblacion Total,KAZ,1990,16348000
Poblacion Total,KEN,1990,23162269
Poblacion Total,KGZ,1990,4391200
Poblacion Total,KHM,1990,8910808
Poblacion Total,KIR,1990,75124
Poblacion Total,KNA,1990,40636
Poblacion Total,KOR,1990,42869283
Poblacion Total,KWT,1990,1674938
Poblacion Total,LAC,1990,396328556
Poblacion Total,LAO,1990,4314443
Poblacion Total,LBN,1990,3593700
Poblacion Total,LBR,1990,2209731
Poblacion Total,LBY,1990,4236983
Poblacion Total,LCA,1990,142301
Poblacion Total,LCN,1990,441597528
Poblacion Total,LDC,1990,513968735
Poblacion Total,LIC,1990,288759638
Poblacion Total,LIE,1990,28765
Poblacion Total,LKA,1990,17204094
Poblacion Total,LMC,1990,1844475984
Poblacion Total,LMY,1990,4246144171
Poblacion Total,LSO,1990,1798997
Poblacion Total,LTE,1990,1847821462
Poblacion Total,LTU,1990,3697838
Poblacion Total,LUX,1990,381850
Poblacion Total,LVA,1990,2663151
Poblacion Total,MAC,1990,350227
Poblacion Total,MAF,1990,28127
Poblacion Total,MAR,1990,24570814
Poblacion Total,MCO,1990,30329
Poblacion Total,MDA,1990,2965978
Poblacion Total,MDG,1990,11882762
Poblacion Total,MDV,1990,224957
Poblacion Total,MEA,1990,256203998
Poblacion Total,MEX,1990,81720428
Poblacion Total,MHL,1990,46047
Poblacion Total,MIC,1990,3957384533
Poblacion Total,MKD,1990,2044174
Poblacion Total,MLI,1990,8945026
Poblacion Total,MLT,1990,354170
Poblacion Total,MMR,1990,40099553
Poblacion Total,MNA,1990,228846359
Poblacion Total,MNE,1990,606372
Poblacion Total,MNG,1990,2161433
Poblacion Total,MNP,1990,48002
Poblacion Total,MOZ,1990,13303459
Poblacion Total,MRT,1990,2006027
Poblacion Total,MUS,1990,1058775
Poblacion Total,MWI,1990,9539665
Poblacion Total,MYS,1990,17517054
Poblacion Total,NAC,1990,277373464
Poblacion Total,NAM,1990,1369011
Poblacion Total,NCL,1990,170899
Poblacion Total,NER,1990,8370648
Poblacion Total,NGA,1990,95214257
Poblacion Total,NIC,1990,4227820
Poblacion Total,NLD,1990,14951510
Poblacion Total,NOR,1990,4241473
Poblacion Total,NPL,1990,19616530
Poblacion Total,NRU,1990,9598
Poblacion Total,NZL,1990,3329800
Poblacion Total,OED,1990,1104791543
Poblacion Total,OMN,1990,1804524
Poblacion Total,OSS,1990,17806417
Poblacion Total,PAK,1990,115414069
Poblacion Total,PAN,1990,2449968
Poblacion Total,PER,1990,22109099
Poblacion Total,PHL,1990,61558898
Poblacion Total,PLW,1990,15293
Poblacion Total,PNG,1990,3864972
Poblacion Total,POL,1990,38110782
Poblacion Total,PRE,1990,417144782
Poblacion Total,PRI,1990,3537000
Poblacion Total,PRK,1990,20799523
Poblacion Total,PRT,1990,9983218
Poblacion Total,PRY,1990,4059195
Poblacion Total,PSE,1990,1978248
Poblacion Total,PSS,1990,1776243
Poblacion Total,PST,1990,964048985
Poblacion Total,PYF,1990,211089
Poblacion Total,QAT,1990,441675
Poblacion Total,ROU,1990,23201835
Poblacion Total,RUS,1990,147969407
Poblacion Total,RWA,1990,7319962
Poblacion Total,SAS,1990,1141312704
Poblacion Total,SAU,1990,16004763
Poblacion Total,SDN,1990,21090886
Poblacion Total,SEN,1990,7536001
Poblacion Total,SGP,1990,3047132
Poblacion Total,SLB,1990,324171
Poblacion Total,SLE,1990,4325388
Poblacion Total,SLV,1990,5367179
Poblacion Total,SMR,1990,23132
Poblacion Total,SOM,1990,6999096
Poblacion Total,SRB,1990,7586000
Poblacion Total,SSA,1990,516560181
Poblacion Total,SSD,1990,4750817
Poblacion Total,SSF,1990,516629688
Poblacion Total,SST,1990,25640496
Poblacion Total,STP,1990,120343
Poblacion Total,SUR,1990,412756
Poblacion Total,SVK,1990,5299187
Poblacion Total,SVN,1990,1998161
Poblacion Total,SWE,1990,8558835
Poblacion Total,SWZ,1990,854011
Poblacion Total,SXM,1990,27845
Poblacion Total,SYC,1990,69507
Poblacion Total,SYR,1990,12408996
Poblacion Total,TCA,1990,11709
Poblacion Total,TCD,1990,5827069
Poblacion Total,TEA,1990,1580447407
Poblacion Total,TEC,1990,427949024
Poblacion Total,TGO,1990,3875947
Poblacion Total,THA,1990,55228410
Poblacion Total,TJK,1990,5417860
Poblacion Total,TKM,1990,3720278
Poblacion Total,TLA,1990,426479901
Poblacion Total,TLS,1990,758106
Poblacion Total,TMN,1990,226868111
Poblacion Total,TON,1990,98727
Poblacion Total,TSA,1990,1141312704
Poblacion Total,TSS,1990,516629688
Poblacion Total,TTO,1990,1266518
Poblacion Total,TUN,1990,8440023
Poblacion Total,TUR,1990,54324142
Poblacion Total,TUV,1990,9182
Poblacion Total,TZA,1990,26206012
Poblacion Total,UGA,1990,17586630
Poblacion Total,UKR,1990,51891400
